trough_date,available_from,R,sigma,drawdown
1987-12-04,1988-02-05,-0.10057843777977027,0.296692124814161,-0.3350951525557261
1990-10-11,1990-12-12,-0.08395862954183608,0.2134209713740379,-0.19918693134699017
1998-08-31,1998-10-30,-0.14579671825011387,0.32183526874961843,-0.1933599921661049
2001-04-04,2001-06-06,-0.1200750063527577,0.30925240205372606,-0.27772247508022085
2001-09-21,2001-11-21,-0.18267525357796288,0.24250717628005333,-0.24367245854450148
2002-07-23,2002-09-23,-0.19354186425209818,0.3014090935673482,-0.31966464630311786
2008-03-10,2008-05-09,-0.04752753546463384,0.17923772889700418,-0.186423042357302
2008-11-20,2009-01-26,-0.16095365880152268,0.7149475500363368,-0.47257522983107747
2009-03-09,2009-05-08,-0.2001772786855862,0.3864076837946553,-0.22601790603802463
2010-07-02,2010-09-02,-0.07276728250285602,0.23518514132586096,-0.15994677274011782
2011-10-03,2011-12-02,-0.08733669287999557,0.30160050125731575,-0.19388242072358453
2018-12-24,2019-02-27,-0.11276895680006283,0.2362048995348514,-0.19778210435681998
2020-03-23,2020-05-22,-0.3296682189068234,0.8356730172253991,-0.3392496000265327
2022-06-16,2022-08-18,-0.10322708537711822,0.3129079016568532,-0.23554172683365304
2022-10-12,2022-12-13,-0.09043680468290316,0.2354442279059768,-0.16497503733002017
