,count,mean,std,min,50%,max
MRI_bw0.25,5101.0,0.7663612611305958,0.24972847753107014,0.0007343560894462,0.8526328478113431,0.9999869653551986
R_t,5101.0,0.009363354242514273,0.08039833749100143,-0.3157997075321583,0.0057271623154364,0.333478512269328
sigma_t,5101.0,0.22376077680122483,0.11381299611066514,0.0429560739669572,0.1899877206004782,0.7198639388710896
EP_t,5040.0,0.07706512422083604,0.021598573598946482,0.0196966712625566,0.0801282051282051,0.1270648030495552
BM_t,5040.0,0.5849892344045299,0.1717339896725128,0.1338688085676037,0.6172839506172839,0.8849557522123894
IV_t,2649.0,21.207669727383916,7.720483782546808,8.31,19.48,63.79
Future_ExRet,5100.0,0.0003266376875721451,0.015883486772751528,-0.0924925842660723,0.0005150707942235999,0.0932905901687075
Future_Volatility,5086.0,0.21847008843614962,0.11123400699346392,0.0419208357179392,0.18567226716282087,0.7025152704573143
