gamma,CN_ret_b,CN_ret_t,CN_vol_b,CN_vol_t,US_ret_b,US_ret_t,US_vol_b,US_vol_t
0.125,-0.010877,-4.605,-0.072687,-1.668,-0.000807,-0.847,-0.01237,-0.641
0.25,-0.008452,-4.714,-0.057927,-2.032,-0.000723,-0.859,-0.006884,-0.421
0.5,-0.005429,-4.221,-0.040345,-2.044,-0.000743,-0.887,-0.002669,-0.173
1.0,-0.002752,-2.83,-0.022344,-1.441,-0.00079,-0.891,0.002122,0.14
2.0,-0.001051,-1.29,-0.010416,-0.773,-0.000685,-0.692,0.006729,0.433
5.0,0.00021,0.271,-0.004372,-0.341,0.000143,0.112,0.006383,0.389
