,count,mean,std,min,50%,max
MRI_bw0.25,250.0,0.7722826913933587,0.24656240262418616,0.0025528521962861,0.8637180885926803,0.9992197155427366
R_t,250.0,0.008128805366788077,0.07872701045683668,-0.2517939926207493,0.00592127065732905,0.2792901965069896
sigma_t,250.0,0.22352096704732463,0.11430138399650491,0.0434193060791546,0.18971456195517655,0.6243380671102287
EP_t,248.0,0.0774766249371785,0.02166475639335154,0.0209030100334448,0.0803858520900321,0.1256281407035175
BM_t,248.0,0.5882590894717512,0.17217336473298675,0.1410437235543018,0.6211180124223602,0.8620689655172414
IV_t,130.0,21.660308471615387,8.607322418657743,9.13,19.5,62.28
Future_ExRet,250.0,0.006889641815338726,0.07866130244853366,-0.2612986159908058,0.00331533722650775,0.2772485298403225
Future_Volatility,250.0,0.2244549606959514,0.11406181204348538,0.0434193060791582,0.18879514048995885,0.624338067110229
