Date,Close,VIX_t,ret_d,R_t,sigma_t,MRI_t,MRI_bw0.125,MRI_bw0.25,MRI_bw0.5,MRI_bw1.0,MRI_bw5.0,Mkt_RF_t,SMB_t,HML_t,RF_t
1985-01-02,165.3699951171875,,,,,,,,,,,-0.009300000000000001,0.0077,0.0026,0.0003
1985-01-03,164.57000732421875,,-0.004837563140773216,,,,,,,,,-0.0033,0.0040999999999999995,-0.0002,0.0003
1985-01-04,163.67999267578125,,-0.005408121825528522,,,,,,,,,-0.0043,0.0043,-0.0004,0.0003
1985-01-07,164.24000549316406,,0.0034213883335887374,,,,,,,,,0.0025,-0.0018,0.0015,0.0003
1985-01-08,163.99000549316406,,-0.0015221626378379982,,,,,,,,,-0.0005,0.0021,0.0017000000000000001,0.0003
1985-01-09,165.17999267578125,,0.007256461630320565,,,,,,,,,0.0063,-0.0013,-0.0013,0.0003
1985-01-10,168.30999755859375,,0.018949055706499074,,,,,,,,,0.0169,-0.0070999999999999995,-0.0069,0.0003
1985-01-11,167.91000366210938,,-0.002376530819835132,,,,,,,,,-0.0005,0.0045000000000000005,-0.0029,0.0003
1985-01-14,170.50999450683594,,0.015484430873806687,,,,,,,,,0.0141,-0.0032,-0.0089,0.0003
1985-01-15,170.80999755859375,,0.0017594455540597131,,,,,,,,,0.0026,0.0046,-0.0019,0.0003
1985-01-16,171.19000244140625,,0.0022247227225804522,,,,,,,,,0.004,0.0040999999999999995,-0.0007000000000000001,0.0003
1985-01-17,170.72999572753906,,-0.0026871120235226753,,,,,,,,,-0.0012,0.0064,-0.0019,0.0003
1985-01-18,171.32000732421875,,0.0034558168537721645,,,,,,,,,0.0031,0.0025,0.0001,0.0003
1985-01-21,175.22999572753906,,0.022822719099706568,,,,,,,,,0.0196,-0.009000000000000001,-0.0091,0.0003
1985-01-22,175.47999572753906,,0.001426696376736425,,,,,,,,,0.0018,0.0022,-0.0014000000000000002,0.0003
1985-01-23,177.3000030517578,,0.010371594304370735,,,,,,,,,0.009899999999999999,-0.0026,-0.006999999999999999,0.0003
1985-01-24,176.7100067138672,,-0.0033276724632564925,,,,,,,,,-0.0015,0.0054,-0.0038,0.0003
1985-01-25,177.35000610351562,,0.0036217495633099617,,,,,,,,,0.004,0.0011,-0.0036,0.0003
1985-01-28,177.39999389648438,,0.00028185955031534426,,,,,,,,,0.0017000000000000001,0.0042,-0.005699999999999999,0.0003
1985-01-29,179.17999267578125,,0.010033815335616758,,,,,,,,,0.0083,-0.0036,-0.0028000000000000004,0.0003
1985-01-30,179.38999938964844,,0.0011720433220867577,,,,,,,,,0.0024,0.0040999999999999995,-0.0002,0.0003
1985-01-31,179.6300048828125,,0.0013378978425813148,0.08623093781625757,0.12182659543163575,,,,,,,0.0004,0.0012,0.004699999999999999,0.0003
